region	虻田 (1355)	厚真 (1419)	平取 (1512)	千歳 (1411)	江部乙 (1325)	萩野 (1329)	日高 (1514)	穂別 (1446)	幌別 (1420)	幌満 (1398)	三石 (1392)	鵡川 (1478)	室蘭 (1413)	新冠 (1430)	貫気別 (1498)	荻伏 (1401)	長万部 (1403)	礼文 (1399)	様似 (1403)	沙流 (1604)	白老 (1329)	静内 (1420)	高江 (1430)	高島 (1124)	豊浦 (1284)	浦河 (1400)	有珠 (1349)	空念 (105)	八雲 (1499)	旭川 (1331)	近文 (1311)	名寄 (1301)	宗谷 (1284)	天塩 (1250)	網走 (1347)	阿寒 (1266)	足寄 (1119)	美幌 (1372)	広尾 (1114)	白人 (1131)	布伏内 (1462)	伏古 (1140)	春採 (1462)	北見 (1334)	釧路 (1478)	屈斜路 (1267)	芽室 (1137)	藻琴 (1347)	根室 (1415)	虹別 (1504)	帯広 (1140)	音更 (1134)	斜里 (1327)	白糠 (1464)	十勝 (1123)	塘路 (1473)	智来 (1480)	真岡 (1393)	ライチシカ (1595)	白主 (1280)	多蘭泊 (1257)	鵜城 (1568)	相浜 (1446)	内路 (1423)	新問 (1427)	落帆 (1246)	白浜 (1446)	白浦 (1474)	多来加 (1442)	富内 (1241)	弥満別 (1224)	千島 (1503)	幌筵 (1508)	占守 (1503)	択捉 (1190)	南千島 (1190)
三石 (1392)	0.789622	0.921997	0.940017	0.914549	0.714356	0.826661	0.944667	0.928649	0.801876	0.933639	1.000000	0.932276	0.799497	0.973933	0.937443	0.945312	0.740075	0.742207	0.933639	0.937293	0.827365	0.977990	0.973933	0.454236	0.773826	0.942687	0.791056	0.727027	0.751361	0.706338	0.411787	0.428673	0.618458	0.622552	0.399825	0.390624	0.446217	0.405261	0.784251	0.472740	0.382329	0.476394	0.379877	0.406773	0.679877	0.388289	0.477825	0.401698	0.640091	0.367806	0.476194	0.470724	0.395978	0.703076	0.451032	0.675429	0.443825	0.448281	0.437076	0.611458	0.525667	0.434960	0.445388	0.446042	0.147822	0.514173	0.445429	0.443288	0.443906	0.514173	0.525055	0.130047	0.128295	0.130047	0.317657	0.325925
鵡川 (1478)	0.815439	0.973091	0.983419	0.963861	0.736725	0.857100	0.973302	0.971826	0.829445	0.894235	0.932276	1.000000	0.824868	0.948548	0.965677	0.896752	0.765576	0.768828	0.894912	0.979365	0.858269	0.946052	0.948548	0.456923	0.798137	0.895631	0.815483	0.732432	0.779365	0.725529	0.427558	0.450245	0.636399	0.641613	0.408459	0.395642	0.449599	0.412944	0.760500	0.474016	0.381974	0.481304	0.383749	0.413433	0.684425	0.394237	0.482707	0.410108	0.643821	0.372978	0.481681	0.476430	0.404586	0.703126	0.451364	0.680146	0.450415	0.455842	0.446176	0.628242	0.535488	0.442651	0.453983	0.452811	0.155272	0.519646	0.454036	0.450471	0.451220	0.519646	0.532530	0.136609	0.134867	0.136609	0.319888	0.327571
室蘭 (1413)	0.963816	0.816943	0.825526	0.820113	0.715324	0.951000	0.822409	0.819169	0.988117	0.772082	0.799497	0.824868	1.000000	0.805304	0.812082	0.774938	0.833190	0.836589	0.772759	0.826201	0.949851	0.804003	0.805304	0.429730	0.950461	0.774044	0.974025	0.727027	0.839194	0.710734	0.408707	0.436184	0.624476	0.626404	0.392656	0.381674	0.426672	0.397102	0.723132	0.439128	0.373521	0.441024	0.373510	0.397142	0.676889	0.379520	0.441026	0.393505	0.635608	0.363996	0.443531	0.441160	0.387093	0.687213	0.424245	0.671856	0.449723	0.455476	0.443061	0.616715	0.526897	0.438924	0.456304	0.450983	0.152711	0.513296	0.456360	0.448973	0.450045	0.513296	0.522210	0.139181	0.137415	0.139181	0.318284	0.323492
新冠 (1430)	0.795340	0.932866	0.956308	0.925525	0.720132	0.834023	0.963276	0.938285	0.808741	0.918796	0.973933	0.948548	0.805304	1.000000	0.952428	0.924014	0.744497	0.746935	0.919477	0.953584	0.834843	0.991634	0.995918	0.453580	0.778759	0.921782	0.796825	0.732432	0.758194	0.709982	0.414068	0.431806	0.620637	0.625071	0.400731	0.391611	0.445981	0.406083	0.771063	0.472394	0.382931	0.476516	0.382037	0.409081	0.682718	0.389358	0.479008	0.402529	0.639483	0.370005	0.476260	0.470395	0.396625	0.704466	0.450334	0.677218	0.444175	0.449395	0.438727	0.612805	0.526805	0.435912	0.446400	0.446938	0.148720	0.515178	0.446445	0.444287	0.444757	0.515178	0.526052	0.129984	0.128229	0.129984	0.316538	0.324572
貫気別 (1498)	0.803093	0.948586	0.977975	0.939090	0.732251	0.841562	0.967313	0.961062	0.816077	0.897274	0.937443	0.965677	0.812082	0.952428	1.000000	0.901483	0.758038	0.760853	0.897952	0.975945	0.842530	0.949553	0.952428	0.457202	0.790490	0.899341	0.803476	0.732432	0.769472	0.722335	0.423688	0.448628	0.633273	0.636990	0.404061	0.392177	0.449895	0.409568	0.766336	0.477676	0.380033	0.485226	0.380828	0.410177	0.682857	0.390470	0.486959	0.405803	0.640238	0.368614	0.485557	0.479403	0.398827	0.703376	0.452125	0.676874	0.448540	0.454685	0.441558	0.625127	0.532299	0.438027	0.452224	0.450281	0.152081	0.520066	0.452273	0.448655	0.448047	0.520066	0.531776	0.133450	0.131041	0.133450	0.317271	0.325450
荻伏 (1401)	0.765934	0.886106	0.903712	0.878921	0.704582	0.801690	0.910709	0.892891	0.777187	0.983604	0.945312	0.896752	0.774938	0.924014	0.901483	1.000000	0.722945	0.724960	0.983604	0.901003	0.802352	0.927960	0.924014	0.456146	0.756322	0.992727	0.767294	0.700000	0.730195	0.696943	0.403715	0.415977	0.617927	0.623229	0.702243	0.695466	0.447970	0.708384	0.834339	0.476052	0.687066	0.477376	0.683535	0.707800	0.686917	0.693092	0.477883	0.704147	0.644944	0.673827	0.479242	0.473675	0.697865	0.710697	0.454722	0.682315	0.440340	0.442050	0.429577	0.611015	0.521023	0.428152	0.441917	0.439872	0.142997	0.508296	0.441956	0.439823	0.440470	0.508296	0.519143	0.127414	0.125676	0.127414	0.319025	0.327417
長万部 (1403)	0.847306	0.761271	0.766083	0.762801	0.705930	0.794586	0.761784	0.760133	0.829955	0.719942	0.740075	0.765576	0.833190	0.744497	0.758038	0.722945	1.000000	0.987411	0.719942	0.763380	0.793620	0.743977	0.744497	0.411334	0.872618	0.722857	0.850557	0.710811	0.958822	0.702627	0.397897	0.425851	0.618164	0.618795	0.366870	0.353691	0.409465	0.371703	0.705201	0.421561	0.353164	0.426058	0.355198	0.371657	0.655874	0.351774	0.426544	0.367632	0.623773	0.340373	0.425887	0.424376	0.362600	0.670617	0.406488	0.651859	0.448780	0.453206	0.445474	0.609040	0.517899	0.443345	0.457247	0.453251	0.154968	0.509340	0.457310	0.449964	0.452906	0.509340	0.516031	0.130234	0.128460	0.130234	0.305097	0.309169
礼文 (1399)	0.854477	0.764725	0.769036	0.766705	0.707241	0.799508	0.764574	0.763956	0.834449	0.721737	0.742207	0.768828	0.836589	0.746935	0.760853	0.724960	0.987411	1.000000	0.721737	0.766333	0.798475	0.746353	0.746935	0.412550	0.880186	0.724771	0.856285	0.710811	0.952053	0.703547	0.399493	0.426218	0.619137	0.620077	0.367551	0.355198	0.410618	0.371809	0.705568	0.421504	0.354757	0.426105	0.354586	0.371855	0.655937	0.353200	0.426689	0.368319	0.624134	0.341658	0.425920	0.424415	0.362503	0.671487	0.407555	0.651856	0.449182	0.453723	0.445786	0.609853	0.517760	0.442962	0.457730	0.453554	0.155286	0.509936	0.457793	0.450387	0.452526	0.509936	0.516754	0.130385	0.128617	0.130385	0.305691	0.309953
様似 (1403)	0.763831	0.884572	0.900133	0.877864	0.704885	0.800959	0.906821	0.889912	0.776112	0.995265	0.933639	0.894912	0.772759	0.919477	0.897952	0.983604	0.719942	0.721737	1.000000	0.898101	0.801540	0.919871	0.919477	0.457204	0.753630	0.986212	0.765168	0.700000	0.727406	0.697714	0.405163	0.415311	0.617716	0.622026	0.704153	0.698392	0.448948	0.710277	0.840864	0.476325	0.688154	0.477057	0.687384	0.709514	0.690767	0.696043	0.476357	0.706112	0.648551	0.677804	0.479002	0.473349	0.700747	0.712377	0.455305	0.686621	0.439951	0.441566	0.429933	0.610957	0.521193	0.428529	0.442202	0.438942	0.142062	0.507884	0.442238	0.440132	0.439581	0.507884	0.519380	0.127446	0.125710	0.127446	0.319297	0.328518
沙流 (1604)	0.816706	0.960269	0.991892	0.950247	0.736357	0.856068	0.980431	0.969524	0.830370	0.897424	0.937293	0.979365	0.826201	0.953584	0.975945	0.901003	0.763380	0.766333	0.898101	1.000000	0.857107	0.950409	0.953584	0.463662	0.796789	0.898965	0.817371	0.737838	0.779505	0.727268	0.429297	0.453176	0.635615	0.641360	0.411061	0.399473	0.456615	0.416399	0.765747	0.483866	0.384786	0.491236	0.386488	0.416926	0.687841	0.397909	0.492106	0.412766	0.645833	0.375238	0.491593	0.485505	0.406554	0.707458	0.458780	0.682669	0.451731	0.456479	0.448167	0.627500	0.536792	0.443293	0.456705	0.454173	0.155963	0.522442	0.456755	0.451821	0.451931	0.522442	0.534052	0.138064	0.136326	0.138064	0.323829	0.331773
白老 (1329)	0.935568	0.852334	0.856431	0.857522	0.726601	0.994281	0.853228	0.851404	0.956681	0.800864	0.827365	0.858269	0.949851	0.834843	0.842530	0.802352	0.793620	0.798475	0.801540	0.857107	1.000000	0.831963	0.834843	0.439099	0.914247	0.800426	0.937046	0.721622	0.800413	0.717285	0.419312	0.438649	0.628632	0.634518	0.401931	0.389994	0.432485	0.405961	0.733741	0.448709	0.382063	0.450239	0.380196	0.406911	0.682223	0.389652	0.451208	0.402798	0.639985	0.372404	0.452703	0.450354	0.398138	0.695599	0.433848	0.678383	0.451347	0.455998	0.443817	0.622580	0.534207	0.441657	0.457424	0.452382	0.154142	0.518041	0.457481	0.449965	0.450746	0.518041	0.529265	0.139514	0.137760	0.139514	0.322984	0.329309
静内 (1420)	0.794006	0.929801	0.953133	0.923254	0.718302	0.831167	0.959916	0.936009	0.805999	0.919871	0.977990	0.946052	0.804003	0.991634	0.949553	0.927960	0.743977	0.746353	0.919871	0.950409	0.831963	1.000000	0.991634	0.452399	0.777460	0.925686	0.795504	0.732432	0.757746	0.708290	0.412376	0.430212	0.619786	0.624154	0.399405	0.390383	0.444727	0.404769	0.771168	0.470601	0.382447	0.474649	0.380955	0.407745	0.680955	0.388118	0.476404	0.401216	0.637625	0.368806	0.474402	0.469167	0.396027	0.704078	0.449954	0.676086	0.444100	0.449302	0.438664	0.612664	0.526707	0.436534	0.446326	0.446209	0.147991	0.515102	0.446370	0.444216	0.444036	0.515102	0.525975	0.129990	0.128236	0.129990	0.315232	0.323299
高江 (1430)	0.795340	0.932866	0.956308	0.925525	0.720132	0.834023	0.963276	0.938285	0.808741	0.918796	0.973933	0.948548	0.805304	0.995918	0.952428	0.924014	0.744497	0.746935	0.919477	0.953584	0.834843	0.991634	1.000000	0.453580	0.778759	0.921782	0.796825	0.732432	0.758194	0.709982	0.414068	0.431806	0.620637	0.625071	0.400731	0.391611	0.445981	0.406083	0.771063	0.472394	0.382931	0.476516	0.382037	0.409081	0.682718	0.389358	0.479008	0.402529	0.639483	0.370005	0.476260	0.470395	0.396625	0.704466	0.450334	0.677218	0.444175	0.449395	0.438727	0.612805	0.526805	0.435912	0.446400	0.446938	0.148720	0.515178	0.446445	0.444287	0.444757	0.515178	0.526052	0.129984	0.128229	0.129984	0.316538	0.324572
高島 (1124)	0.424994	0.453642	0.462310	0.447706	0.418769	0.438535	0.462185	0.461727	0.432732	0.457204	0.454236	0.456923	0.429730	0.453580	0.457202	0.456146	0.411334	0.412550	0.457204	0.463662	0.439099	0.452399	0.453580	1.000000	0.409655	0.455557	0.424613	0.383784	0.422563	0.428858	0.723446	0.727751	0.336367	0.337783	0.466475	0.460212	0.979952	0.474528	0.601427	0.959776	0.461658	0.947017	0.442855	0.478186	0.446913	0.455336	0.943248	0.468764	0.389673	0.427477	0.949489	0.955370	0.461278	0.539542	0.980317	0.439956	0.151193	0.157590	0.140585	0.327681	0.230466	0.137682	0.156725	0.148138	0.148658	0.219149	0.156762	0.151534	0.150724	0.219149	0.231665	0.134429	0.133411	0.134429	0.663297	0.673205
豊浦 (1284)	0.967620	0.793340	0.799492	0.799458	0.700207	0.915363	0.796368	0.794362	0.948981	0.752953	0.773826	0.798137	0.950461	0.778759	0.790490	0.756322	0.872618	0.880186	0.753630	0.796789	0.914247	0.777460	0.778759	0.409655	1.000000	0.756078	0.971411	0.721622	0.838845	0.694367	0.395043	0.418715	0.613897	0.615583	0.374999	0.363492	0.406279	0.379330	0.704837	0.419383	0.356389	0.422684	0.356833	0.379417	0.657509	0.361433	0.423330	0.375782	0.621384	0.345784	0.423841	0.421638	0.369929	0.669765	0.404613	0.654034	0.445838	0.449729	0.436350	0.605927	0.515791	0.433523	0.452404	0.444814	0.146551	0.506682	0.452466	0.445039	0.443797	0.506682	0.514241	0.130448	0.128683	0.130448	0.305997	0.311055
浦河 (1400)	0.765608	0.885052	0.901673	0.877401	0.704103	0.799803	0.908641	0.891013	0.776163	0.986212	0.942687	0.895631	0.774044	0.921782	0.899341	0.992727	0.722857	0.724771	0.986212	0.898965	0.800426	0.925686	0.921782	0.455557	0.756078	1.000000	0.767025	0.700000	0.730237	0.696604	0.402698	0.415238	0.618131	0.622617	0.702587	0.695866	0.447393	0.708693	0.835300	0.475384	0.686142	0.476484	0.684271	0.708027	0.687654	0.693527	0.476790	0.704505	0.645044	0.673744	0.478381	0.472796	0.698330	0.710660	0.453790	0.682322	0.440121	0.441779	0.429396	0.610614	0.520741	0.427983	0.441684	0.440395	0.143516	0.508038	0.441722	0.439608	0.441010	0.508038	0.518854	0.127400	0.125661	0.127400	0.319011	0.326737
有珠 (1349)	0.984607	0.811137	0.816696	0.816989	0.713132	0.938284	0.813016	0.811971	0.972759	0.764492	0.791056	0.815483	0.974025	0.796825	0.803476	0.767294	0.850557	0.856285	0.765168	0.817371	0.937046	0.795504	0.796825	0.424613	0.971411	0.767025	1.000000	0.732432	0.842095	0.707365	0.406689	0.432152	0.621719	0.622659	0.387480	0.377515	0.421116	0.391870	0.716137	0.434462	0.369846	0.436427	0.369631	0.391966	0.670982	0.375409	0.436435	0.388284	0.630590	0.360436	0.438930	0.436681	0.382439	0.683299	0.419595	0.667433	0.450389	0.456278	0.442272	0.613781	0.525706	0.439453	0.456976	0.450099	0.151836	0.511287	0.457037	0.449609	0.449105	0.511287	0.518874	0.137889	0.136125	0.137889	0.312909	0.318052
空念 (105)	0.732432	0.727027	0.732432	0.732432	0.645946	0.721622	0.727027	0.727027	0.727027	0.700000	0.727027	0.732432	0.727027	0.732432	0.732432	0.700000	0.710811	0.710811	0.700000	0.737838	0.721622	0.732432	0.732432	0.383784	0.721622	0.700000	0.732432	1.000000	0.727027	0.651351	0.367568	0.400000	0.629730	0.613514	0.389189	0.372973	0.383784	0.389189	0.651351	0.405405	0.383784	0.400000	0.383784	0.389189	0.678378	0.378378	0.400000	0.389189	0.624324	0.383784	0.400000	0.400000	0.389189	0.667568	0.378378	0.672973	0.429730	0.418919	0.418919	0.629730	0.532432	0.418919	0.435135	0.413514	0.135135	0.543243	0.435135	0.429730	0.408108	0.543243	0.532432	0.162162	0.162162	0.162162	0.318919	0.318919
八雲 (1499)	0.838157	0.771210	0.779505	0.771936	0.713926	0.801314	0.776234	0.770323	0.836007	0.727406	0.751361	0.779365	0.839194	0.758194	0.769472	0.730195	0.958822	0.952053	0.727406	0.779505	0.800413	0.757746	0.758194	0.422563	0.838845	0.730237	0.842095	0.727027	1.000000	0.711867	0.405110	0.438831	0.631078	0.631863	0.376875	0.363087	0.420624	0.381654	0.713148	0.433509	0.359213	0.437202	0.360853	0.381492	0.663556	0.361893	0.437596	0.377659	0.628994	0.347318	0.438397	0.436819	0.372795	0.677518	0.417965	0.658179	0.453898	0.459457	0.454135	0.622224	0.526808	0.452053	0.461616	0.459304	0.161000	0.513603	0.461674	0.455090	0.458339	0.513603	0.519488	0.137450	0.135670	0.137450	0.310544	0.314475
旭川 (1331)	0.710318	0.720791	0.728621	0.720622	0.972181	0.716827	0.723936	0.725997	0.714059	0.697714	0.706338	0.725529	0.710734	0.709982	0.722335	0.696943	0.702627	0.703547	0.697714	0.727268	0.717285	0.708290	0.709982	0.428858	0.694367	0.696604	0.707365	0.651351	0.711867	1.000000	0.660135	0.542882	0.680600	0.686972	0.423539	0.409757	0.432977	0.427927	0.705257	0.434664	0.388385	0.439096	0.384886	0.428266	0.686239	0.407405	0.439318	0.421994	0.650979	0.376953	0.439597	0.440105	0.414510	0.686188	0.420624	0.683433	0.455736	0.462609	0.456490	0.667112	0.553311	0.451340	0.460092	0.456667	0.159283	0.541177	0.460161	0.455912	0.456850	0.541177	0.556843	0.139737	0.138036	0.139737	0.339639	0.344743
近文 (1311)	0.408967	0.424173	0.430650	0.424681	0.639749	0.418854	0.427994	0.429379	0.412032	0.404486	0.411787	0.427558	0.408707	0.414068	0.423688	0.403715	0.397897	0.399493	0.405163	0.429297	0.419312	0.412376	0.414068	0.723446	0.395043	0.402698	0.406689	0.367568	0.405110	0.660135	1.000000	0.823963	0.373836	0.387648	0.422863	0.407728	0.727565	0.427250	0.410675	0.728576	0.386356	0.733008	0.381504	0.428942	0.384210	0.406052	0.733906	0.421317	0.351655	0.376953	0.733509	0.734017	0.415186	0.386188	0.715889	0.383433	0.160466	0.164636	0.157842	0.361701	0.254663	0.154718	0.162794	0.158694	0.159283	0.241854	0.162864	0.159966	0.158201	0.241854	0.258198	0.139062	0.137361	0.139062	0.636257	0.642713
名寄 (1301)	0.434957	0.442996	0.453852	0.442978	0.531636	0.438345	0.448345	0.448267	0.439021	0.415988	0.428673	0.450245	0.436184	0.431806	0.448628	0.415977	0.425851	0.426218	0.415311	0.453176	0.438649	0.430212	0.431806	0.727751	0.418715	0.415238	0.432152	0.400000	0.438831	0.542882	0.823963	1.000000	0.426942	0.437902	0.451860	0.426648	0.730685	0.450630	0.410272	0.734970	0.398294	0.739362	0.393498	0.449647	0.398904	0.426688	0.739680	0.449813	0.367196	0.390511	0.740634	0.738982	0.442191	0.389749	0.721235	0.398359	0.165073	0.175034	0.162356	0.409255	0.275269	0.156346	0.170658	0.166302	0.165643	0.264705	0.170742	0.163976	0.165617	0.264028	0.288134	0.138759	0.137080	0.138759	0.658143	0.663609
